week_start,country,rank,title,appid,url,price_info,rank_change,extra
2026-08-25,CN,54,Total War: WARHAMMER III,1142710,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III?snr=1_7001_7002_,$59.99,▼ 26,3
2026-08-25,CN,55,Microsoft Flight Simulator 2024,2537590,https://store.steampowered.com/app/2537590/Microsoft_Flight_Simulator_2024?snr=1_7001_7002_,$69.99,▲ 11,2
2026-08-25,CN,56,BidKing,4128580,https://store.steampowered.com/app/4128580/BidKing?snr=1_7001_7002_,$2.99,▲ 27,20
2026-08-25,CN,57,Escape the Backrooms,1943950,https://store.steampowered.com/app/1943950/Escape_the_Backrooms?snr=1_7001_7002_,$9.99,▼ 13,16
2026-08-25,CN,58,Terraria,105600,https://store.steampowered.com/app/105600/Terraria?snr=1_7001_7002_,"-50%
$9.99
$4.99",▲ 21,3
2026-08-25,CN,59,Limbus Company,1973530,https://store.steampowered.com/app/1973530/Limbus_Company?snr=1_7001_7002_,Free To Play,▼ 7,35
2026-08-25,CN,60,"DEAD OR ALIVE Xtreme Venus Vacation
(not available in your region)",958260,https://store.steampowered.com/app/958260/DEAD_OR_ALIVE_Xtreme_Venus_Vacation?snr=1_7001_7002_,,0,2
2026-08-25,CN,61,Once Human,2139460,https://store.steampowered.com/app/2139460/Once_Human?snr=1_7001_7002_,Free To Play,▲ 16,8
2026-08-25,CN,62,R.E.P.O.,3241660,https://store.steampowered.com/app/3241660/REPO?snr=1_7001_7002_,$9.99,▲ 3,39
2026-08-25,CN,63,DragonSword : Awakening,4570720,https://store.steampowered.com/app/4570720/DragonSword_Awakening?snr=1_7001_7002_,$29.99,0,6
2026-08-25,CN,64,Broken Arrow,1604270,https://store.steampowered.com/app/1604270/Broken_Arrow?snr=1_7001_7002_,"-25%
$49.99
$37.49",RETURNING,1
2026-08-25,CN,65,EA Play,1289670,https://store.steampowered.com/app/1289670/EA_Play?snr=1_7001_7002_,$5.99,▼ 7,4
2026-08-25,CN,66,The Blood of Dawnwalker,3751260,https://store.steampowered.com/app/3751260/The_Blood_of_Dawnwalker?snr=1_7001_7002_,"Prepurchase
$69.99",NEW,1
2026-08-25,CN,67,Big Ambitions,1331550,https://store.steampowered.com/app/1331550/Big_Ambitions?snr=1_7001_7002_,"-20%
$25.99
$20.79",RETURNING,1
2026-08-25,CN,68,Split Fiction,2001120,https://store.steampowered.com/app/2001120/Split_Fiction?snr=1_7001_7002_,$49.99,▼ 1,82
2026-08-25,CN,69,MECCHA CHAMELEON,4704690,https://store.steampowered.com/app/4704690/MECCHA_CHAMELEON?snr=1_7001_7002_,$5.99,▼ 5,12
2026-08-25,CN,70,S.T.A.L.K.E.R. 2: Heart of Chornobyl,1643320,https://store.steampowered.com/app/1643320/STALKER_2_Heart_of_Chornobyl?snr=1_7001_7002_,$59.99,▼ 31,2
2026-08-25,CN,71,Broken Arrow: Russian Guard,4232510,https://store.steampowered.com/app/4232510/Broken_Arrow_Russian_Guard?snr=1_7001_7002_,$9.99,NEW,1
2026-08-25,CN,72,Rise of the Tomb Raider™,391220,https://store.steampowered.com/app/391220/Rise_of_the_Tomb_Raider?snr=1_7001_7002_,"-85%
$29.99
$4.49",RETURNING,1
2026-08-25,CN,73,World of Warships,552990,https://store.steampowered.com/app/552990/World_of_Warships?snr=1_7001_7002_,Free To Play,RETURNING,1
2026-08-25,CN,74,Baldur's Gate 3,1086940,https://store.steampowered.com/app/1086940/Baldurs_Gate_3?snr=1_7001_7002_,$59.99,▲ 12,39
2026-08-25,CN,75,Guild Wars 2®,1284210,https://store.steampowered.com/app/1284210/Guild_Wars_2?snr=1_7001_7002_,Free To Play,NEW,1
2026-08-25,CN,76,Pummel Party,880940,https://store.steampowered.com/app/880940/Pummel_Party?snr=1_7001_7002_,$14.99,▼ 1,9
2026-08-25,CN,77,HELLDIVERS™ 2,553850,https://store.steampowered.com/app/553850/HELLDIVERS_2?snr=1_7001_7002_,$39.99,▼ 22,3
2026-08-25,CN,78,Arena Breakout: Infinite,2073620,https://store.steampowered.com/app/2073620/Arena_Breakout_Infinite?snr=1_7001_7002_,Free To Play,RETURNING,1
2026-08-25,CN,79,Hunt: Showdown 1896,594650,https://store.steampowered.com/app/594650/Hunt_Showdown_1896?snr=1_7001_7002_,$29.99,▲ 6,2
2026-08-25,CN,80,"Warhammer 40,000: Darktide",1361210,https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide?snr=1_7001_7002_,"-75%
$39.99
$9.99",▲ 20,2
2026-08-25,CN,81,War Thunder,236390,https://store.steampowered.com/app/236390/War_Thunder?snr=1_7001_7002_,Free To Play,▲ 13,10
2026-08-25,CN,82,Dead by Daylight: Chorus of Sin,5060920,https://store.steampowered.com/app/5060920/Dead_by_Daylight_Chorus_of_Sin?snr=1_7001_7002_,$7.99,NEW,1
2026-08-25,CN,83,"火炬之光：无限
(not available in your region)",2315040,https://store.steampowered.com/app/2315040/%E7%81%AB%E7%82%AC%E4%B9%8B%E5%85%89%E6%97%A0%E9%99%90?snr=1_7001_7002_,,▼ 5,8
2026-08-25,CN,84,Mount & Blade II: Bannerlord,261550,https://store.steampowered.com/app/261550/Mount_Blade_II_Bannerlord?snr=1_7001_7002_,$49.99,▼ 8,3
2026-08-25,CN,85,World of Tanks,1407200,https://store.steampowered.com/app/1407200/World_of_Tanks?snr=1_7001_7002_,Free To Play,▼ 63,2
2026-08-25,CN,86,Dragon's Dogma 2,2054970,https://store.steampowered.com/app/2054970/Dragons_Dogma_2?snr=1_7001_7002_,"-25%
$39.99
$29.99",RETURNING,1
2026-08-25,CN,87,Project Zomboid,108600,https://store.steampowered.com/app/108600/Project_Zomboid?snr=1_7001_7002_,"-33%
$24.99
$16.74",RETURNING,1
2026-08-25,CN,88,Graveyard Keeper 2,4358690,https://store.steampowered.com/app/4358690/Graveyard_Keeper_2?snr=1_7001_7002_,"Prepurchase
-20%
$24.99
$19.99",NEW,1
2026-08-25,CN,89,Minecraft Dungeons,1672970,https://store.steampowered.com/app/1672970/Minecraft_Dungeons?snr=1_7001_7002_,$19.99,▼ 40,2
2026-08-25,CN,90,Assassin's Creed Black Flag Resynced,3751950,https://store.steampowered.com/app/3751950/Assassins_Creed_Black_Flag_Resynced?snr=1_7001_7002_,$59.99,▼ 17,19
2026-08-25,CN,91,PixARK,593600,https://store.steampowered.com/app/593600/PixARK?snr=1_7001_7002_,"-75%
$19.99
$4.99",RETURNING,1
2026-08-25,CN,92,Servant of the Lake,3636770,https://store.steampowered.com/app/3636770/Servant_of_the_Lake?snr=1_7001_7002_,$7.99,▼ 54,3
2026-08-25,CN,93,Ruins of Dawn,4364910,https://store.steampowered.com/app/4364910/Ruins_of_Dawn?snr=1_7001_7002_,$7.99,RETURNING,1
2026-08-25,CN,94,NBA 2K27 Hall of Fame Pass: Season 1,4357570,https://store.steampowered.com/app/4357570/NBA_2K27_Hall_of_Fame_Pass_Season_1?snr=1_7001_7002_,$19.99,NEW,1
2026-08-25,CN,95,Tom Clancy's Rainbow Six Siege,359550,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege?snr=1_7001_7002_,Free To Play,▲ 3,2
2026-08-25,CN,96,DCS World Steam Edition,223750,https://store.steampowered.com/app/223750/DCS_World_Steam_Edition?snr=1_7001_7002_,Free To Play,RETURNING,1
2026-08-25,CN,97,Diablo® IV,2344520,https://store.steampowered.com/app/2344520/Diablo_IV?snr=1_7001_7002_,$49.99,RETURNING,1
2026-08-25,CN,98,Overcooked! All You Can Eat,1243830,https://store.steampowered.com/app/1243830/Overcooked_All_You_Can_Eat?snr=1_7001_7002_,$39.99,▼ 2,2
2026-08-25,CN,99,Risk of Rain 2,632360,https://store.steampowered.com/app/632360/Risk_of_Rain_2?snr=1_7001_7002_,"-67%
$24.99
$8.24",RETURNING,1
2026-08-25,CN,100,Sons Of The Forest,1326470,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest?snr=1_7001_7002_,"-70%
$29.99
$8.99",RETURNING,1
2026-08-25,JP,1,"Stripjong - Super Real Mahjong Venus Returns
(hidden by your preferences)",3718190,https://store.steampowered.com/app/3718190/Stripjong_Super_Real_Mahjong_Venus_Returns?snr=1_7001_7002_,"-20%
$29.99
$23.99",NEW,1
2026-08-25,JP,2,Apex Legends™,1172470,https://store.steampowered.com/app/1172470/Apex_Legends?snr=1_7001_7002_,Free To Play,▼ 1,304
2026-08-25,JP,3,METAL GEAR SOLID: MASTER COLLECTION Vol.2,3859630,https://store.steampowered.com/app/3859630/METAL_GEAR_SOLID_MASTER_COLLECTION_Vol2?snr=1_7001_7002_,$49.99,▲ 15,3
2026-08-25,JP,4,How to Fish,4001890,https://store.steampowered.com/app/4001890/How_to_Fish?snr=1_7001_7002_,$7.99,▼ 1,2
2026-08-25,JP,5,Shadowverse: Worlds Beyond,2584990,https://store.steampowered.com/app/2584990/Shadowverse_Worlds_Beyond?snr=1_7001_7002_,Free To Play,▲ 46,64
2026-08-25,JP,6,ARK: Survival Ascended,2399830,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended?snr=1_7001_7002_,"-75%
$44.99
$11.24",▲ 19,149
2026-08-25,JP,7,"Stripjong - Super Real Mahjong Venus Returns - VR Mode DLC
(hidden by your preferences)",3991320,https://store.steampowered.com/app/3991320/Stripjong_Super_Real_Mahjong_Venus_Returns_VR_Mode_DLC?snr=1_7001_7002_,"-20%
$11.99
$9.59",NEW,1
2026-08-25,JP,8,ELDEN RING,1245620,https://store.steampowered.com/app/1245620/ELDEN_RING?snr=1_7001_7002_,$59.99,▲ 59,8
2026-08-25,JP,9,hololive Dreams,4282500,https://store.steampowered.com/app/4282500/hololive_Dreams?snr=1_7001_7002_,Free To Play,▲ 18,6
2026-08-25,JP,10,The Seven Deadly Sins: Origin,3679080,https://store.steampowered.com/app/3679080/The_Seven_Deadly_Sins_Origin?snr=1_7001_7002_,Free To Play,▲ 68,4
2026-08-25,JP,11,Dead by Daylight,381210,https://store.steampowered.com/app/381210/Dead_by_Daylight?snr=1_7001_7002_,$19.99,▲ 24,535
2026-08-25,JP,12,Onimusha: Way of the Sword,2638890,https://store.steampowered.com/app/2638890/Onimusha_Way_of_the_Sword?snr=1_7001_7002_,"Prepurchase
$69.99",▲ 30,3
2026-08-25,JP,13,NTE: Neverness to Everness,4508340,https://store.steampowered.com/app/4508340/NTE_Neverness_to_Everness?snr=1_7001_7002_,Free To Play,▼ 11,8
2026-08-25,JP,14,Summoners War,2426960,https://store.steampowered.com/app/2426960/Summoners_War?snr=1_7001_7002_,Free To Play,▲ 35,7
2026-08-25,JP,15,Escape from Tarkov,3932890,https://store.steampowered.com/app/3932890/Escape_from_Tarkov?snr=1_7001_7002_,$49.99,▼ 5,17
2026-08-25,JP,16,STAR WARS Zero Company™,2075800,https://store.steampowered.com/app/2075800/STAR_WARS_Zero_Company?snr=1_7001_7002_,$49.99,NEW,1
